pitcher_id,batter_id,on_1b,on_2b,on_3b,des,des_es,s_or_ball,tfs,tfs_zulu,x,y,sv_id,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,type_confidence,zone,nasty,spin_dir,spin_rate,cc,mt,num,game_id,game_id_num,inning,inning_num,away_team,home_team
502032,461815,"","","",Foul,Foul,S,2504,2013-04-01T00:25:04Z,112.45,141.61,130331_192502,92.6,84.4,3.76,1.5,0.05,11.62,-0.407,2.682,-1.31,50.0,5.818,2.39,-135.68,-6.35,0.095,33.049,-10.697,23.7,-3.1,2.7,FF,0.893,4,34,179.748,2296.488,"","",8,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_8,"","","",""
502032,461815,"","","",Ball,Bola mala,B,2527,2013-04-01T00:25:27Z,98.71,170.1,130331_192524,85.6,79.5,3.73,1.72,5.12,0.66,0.038,1.422,-1.491,50.0,5.757,2.142,-125.517,-4.477,8.165,25.458,-31.05,23.8,-15.0,8.4,SL,0.902,14,33,97.838,952.648,"","",8,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_8,"","","",""
502032,443558,461815,"","",Foul,Foul,S,2609,2013-04-01T00:26:09Z,86.7,158.01,130331_192606,85.4,79.5,3.73,1.5,5.68,1.17,0.354,1.997,-1.567,50.0,5.839,2.929,-125.19,-3.406,9.054,24.307,-30.241,23.9,-17.2,8.2,SL,0.902,9,66,102.052,1072.882,"","",9,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_9,"","","",""
502032,443558,461815,"","",Ball,Bola mala,B,2717,2013-04-01T00:27:17Z,133.91,116.57,130331_192715,83.0,77.1,3.63,1.66,5.59,-1.8,-0.956,3.668,-1.445,50.0,6.074,-0.573,-121.685,1.436,8.43,22.662,-34.806,23.8,-13.5,9.5,SL,0.903,11,60,72.66,1052.91,"","",9,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_9,"","","",""
502032,443558,461815,"","",Ball,Bola mala,B,2739,2013-04-01T00:27:39Z,126.18,98.43,130331_192737,91.9,83.9,3.61,1.68,-2.27,10.64,-0.747,4.573,-1.126,50.0,6.012,1.787,-134.777,-1.428,-4.153,31.355,-12.67,23.7,16.1,3.0,FF,0.905,11,42,192.019,2146.539,"","",9,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_9,"","","",""
502032,443558,"","","",Foul,Foul,S,2817,2013-04-01T00:28:17Z,97.0,127.79,130331_192815,84.7,78.7,3.73,1.5,6.88,-0.65,0.191,3.337,-1.213,50.0,5.889,1.253,-124.227,0.466,10.801,23.776,-33.114,23.8,-18.4,9.0,SL,0.903,2,31,85.026,1266.16,"","",9,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_9,"","","",""
502032,443558,"","","",Ball,Bola mala,B,2841,2013-04-01T00:28:41Z,139.06,134.7,130331_192838,93.7,85.9,3.62,1.65,-0.89,10.32,-1.133,3.161,-1.211,50.0,5.705,0.522,-137.324,-4.578,-1.685,31.716,-12.483,23.8,6.6,2.9,FF,0.905,11,54,184.889,2087.891,"","",9,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_9,"","","",""
502032,443558,"","","",Foul,Foul,S,2900,2013-04-01T00:29:00Z,102.15,145.06,130331_192858,85.6,79.1,3.73,1.5,6.55,-0.24,0.016,2.508,-1.429,50.0,5.816,1.473,-125.539,-1.621,10.404,26.345,-32.483,23.8,-18.0,8.8,SL,0.903,5,15,88.299,1202.861,"","",9,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_9,"","","",""
502032,443558,"","","",Ball,Bola mala,B,2941,2013-04-01T00:29:41Z,127.9,105.34,130331_192939,93.5,84.7,3.63,1.77,-1.28,9.65,-0.804,4.234,-1.208,50.0,5.808,1.533,-137.172,-1.618,-2.403,35.492,-14.05,23.7,7.9,3.2,FF,0.905,11,44,187.551,1933.637,"","",9,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_9,"","","",""
502032,150229,443558,"","",Foul,Foul,S,3020,2013-04-01T00:30:20Z,146.78,137.29,130331_193018,91.3,83.5,3.6,1.5,-4.48,8.51,-1.405,2.899,-1.53,50.0,5.784,1.859,-133.831,-4.408,-8.056,31.144,-16.791,23.7,23.2,4.4,FF,0.905,11,41,207.639,1882.413,"","",10,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_10,"","","",""
502032,150229,443558,"","",Swinging Strike (Blocked),Strike tirándole (Bloqueado),S,3048,2013-04-01T00:30:48Z,88.41,190.82,130331_193046,83.2,77.7,3.6,1.5,6.65,0.86,0.31,0.544,-1.308,50.0,5.735,1.818,-121.892,-6.118,10.032,23.211,-30.8,23.9,-17.9,9.0,SL,0.903,14,23,97.799,1205.175,"","",10,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_10,"","","",""
502032,150229,443558,"","","In play, no out","En juego, no out",X,3119,2013-04-01T00:31:19Z,104.72,135.56,130331_193117,92.9,85.0,3.6,1.5,-0.53,11.09,-0.022,3.061,-1.135,50.0,5.76,3.166,-136.083,-5.095,-0.987,31.768,-11.449,23.8,1.2,2.8,FF,0.905,2,26,182.725,2211.998,Bud Norris had A.J. Pierzynski down 0-2 but could not put him away.,"",10,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_10,"","","",""
502032,519048,150229,443558,"",Ball In Dirt,Bola por el suelo,B,3243,2013-04-01T00:32:43Z,58.37,208.09,130331_193241,85.8,80.1,3.28,1.56,7.33,2.76,1.244,-1.061,-1.097,50.0,5.611,3.435,-125.295,-10.897,11.649,25.385,-27.719,23.9,-22.3,8.2,SL,0.903,14,73,110.929,1444.103,"","",11,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_11,"","","",""
502032,519048,150229,443558,"",Called Strike,Strike cantado,S,3316,2013-04-01T00:33:16Z,135.62,158.01,130331_193314,92.0,83.9,3.43,1.61,-2.88,9.76,-1.034,1.914,-1.194,50.0,5.716,1.41,-134.722,-7.341,-5.223,32.632,-14.39,23.7,16.9,3.8,FF,0.905,13,57,196.365,1995.993,"","",11,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_11,"","","",""
502032,519048,150229,443558,"",Foul,Foul,S,3346,2013-04-01T00:33:46Z,94.42,139.88,130331_193344,85.5,78.7,3.52,1.5,5.22,1.11,0.264,2.774,-1.27,50.0,6.005,2.113,-125.393,-1.828,8.259,27.049,-30.345,23.8,-15.7,8.2,SL,0.902,6,26,102.487,978.708,"","",11,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_11,"","","",""
502032,519048,150229,443558,"",Foul,Foul,S,3443,2013-04-01T00:34:43Z,88.41,161.47,130331_193441,84.8,79.3,3.52,1.5,6.04,-1.83,0.385,1.889,-1.212,50.0,5.801,1.996,-124.272,-2.526,9.531,22.918,-34.994,23.9,-15.5,9.4,SL,0.903,9,36,73.517,1160.354,"","",11,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_11,"","","",""
502032,519048,150229,443558,"",Ball,Bola mala,B,3518,2013-04-01T00:35:18Z,129.61,96.71,130331_193516,92.8,84.7,3.43,1.57,-3.15,10.09,-0.82,4.602,-1.243,50.0,5.92,2.228,-136.158,-1.041,-5.861,32.328,-13.324,23.7,21.5,3.2,FF,0.905,11,45,197.27,2103.341,"","",11,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_11,"","","",""
502032,519048,150229,443558,"",Swinging Strike,Strike tirándole,S,3545,2013-04-01T00:35:45Z,76.39,162.33,130331_193543,86.0,80.5,3.52,1.5,6.0,0.03,0.731,1.76,-1.194,50.0,5.769,2.859,-126.078,-3.603,9.744,23.456,-32.056,23.9,-17.3,8.5,SL,0.903,14,50,90.694,1121.326,"","",11,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_11,"","","",""
457448,150289,"","","",Called Strike,Strike cantado,S,3838,2013-04-01T00:38:38Z,92.7,152.83,130331_193836,85.0,78.7,3.13,1.5,4.47,6.47,0.246,2.195,1.968,50.0,6.328,-5.662,-124.44,-5.695,7.019,24.699,-21.941,23.8,-14.5,6.1,FC,0.886,6,43,145.554,1446.689,"","",12,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_12,"","","",""
457448,150289,"","","",Swinging Strike,Strike tirándole,S,3856,2013-04-01T00:38:56Z,68.67,122.61,130331_193854,90.6,83.0,3.13,1.5,13.97,9.45,1.012,3.539,1.86,50.0,6.391,-6.949,-132.606,-4.507,24.733,29.813,-15.368,23.8,-54.8,6.5,FT,0.949,12,74,124.197,3271.503,"","",12,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_12,"","","",""
457448,150289,"","","",Ball,Bola mala,B,3917,2013-04-01T00:39:17Z,56.65,175.28,130331_193915,91.7,84.4,3.13,1.5,14.68,7.32,1.356,1.297,1.927,50.0,6.08,-6.541,-133.961,-9.062,26.579,29.918,-18.848,23.8,-50.4,7.3,FT,0.95,14,47,116.629,3220.003,"","",12,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_12,"","","",""
457448,150289,"","","",Swinging Strike,Strike tirándole,S,3935,2013-04-01T00:39:35Z,78.97,183.05,130331_193933,82.7,75.6,3.13,1.5,13.03,5.45,0.661,0.869,2.039,50.0,5.996,-7.271,-120.885,-7.07,18.997,26.786,-24.153,23.7,-34.3,8.7,CH,0.914,14,39,112.891,2474.787,"","",12,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_12,"","","",""
457448,452239,"","","",Ball,Bola mala,B,4005,2013-04-01T00:40:05Z,49.79,148.51,130331_194003,91.5,83.8,3.5,1.5,13.92,7.99,1.488,2.445,2.01,50.0,6.181,-6.136,-133.891,-6.487,25.083,30.899,-17.695,23.8,-51.1,6.9,FT,0.95,14,29,119.996,3138.193,"","",13,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_13,"","","",""
457448,452239,"","","",Ball,Bola mala,B,4017,2013-04-01T00:40:17Z,52.36,134.7,130331_194015,90.5,83.1,3.5,1.5,12.83,8.58,1.437,2.977,2.012,50.0,6.203,-5.852,-132.572,-5.192,22.727,29.588,-16.903,23.8,-49.9,6.4,FT,0.941,12,35,123.899,2996.401,"","",13,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_13,"","","",""
457448,452239,"","","","In play, out(s)","En juego, out(s)",X,4030,2013-04-01T00:40:30Z,107.3,150.24,130331_194028,83.0,75.8,3.5,1.5,14.04,7.03,-0.061,2.456,2.029,50.0,6.046,-9.325,-121.348,-4.002,20.703,26.21,-21.737,23.7,-39.7,8.1,CH,0.879,5,19,116.755,2771.897,"","",13,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_13,"","","",""
457448,488771,"","","",Ball,Bola mala,B,4110,2013-04-01T00:41:10Z,121.03,117.43,130331_194107,92.5,84.5,3.76,1.5,11.38,11.61,-0.568,3.82,1.767,50.0,6.334,-10.153,-135.211,-4.687,20.959,30.803,-10.711,23.7,-57.8,4.9,FT,0.932,11,66,135.682,3218.822,"","",14,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_14,"","","",""
457448,488771,"","","",Called Strike,Strike cantado,S,4121,2013-04-01T00:41:21Z,119.31,131.24,130331_194119,86.1,79.7,3.59,1.5,5.07,2.77,-0.563,3.023,1.965,50.0,6.267,-7.934,-125.957,-2.527,8.169,24.816,-27.642,23.8,-13.4,7.3,FC,0.909,1,42,119.021,1076.01,"","",14,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_14,"","","",""
